person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length,log_person_income
24,78000,RENT,4.0,DEBTCONSOLIDATION,D,30000,10.99,1,0.38,1,4,11.264476926102367
23,78000,RENT,7.0,DEBTCONSOLIDATION,F,30000,18.62,1,0.38,1,3,11.264476926102367
23,92004,RENT,6.0,PERSONAL,C,30000,15.23,1,0.33,1,3,11.429598202380475
23,97000,RENT,7.0,VENTURE,B,30000,10.65,1,0.31,0,2,11.48247656671073
25,120000,RENT,9.0,EDUCATION,A,30000,7.9,0,0.25,0,4,11.695255355062795
26,280000,RENT,4.0,PERSONAL,C,10000,15.96,0,0.04,1,3,12.54254845357358
26,277104,RENT,0.0,VENTURE,B,20000,11.48,0,0.07,0,3,12.532151774715706
23,277000,OWN,3.0,PERSONAL,A,35000,10.99,0,0.13,0,4,12.531776395271262
25,128000,RENT,9.0,PERSONAL,A,30000,7.29,0,0.23,0,4,11.759793355371237
24,12000,OWN,2.0,VENTURE,E,1750,10.99,0,0.15,1,3,9.392745258631441
21,131000,RENT,0.0,VENTURE,A,30000,5.99,0,0.23,0,4,11.782960235741939
22,275000,OWN,6.0,VENTURE,B,12000,11.58,0,0.04,0,2,12.524530013005734
26,263000,MORTGAGE,0.0,EDUCATION,B,10000,10.99,1,0.04,0,4,12.479913113434042
25,221850,MORTGAGE,9.0,MEDICAL,D,25000,15.7,1,0.1,0,2,12.309761264347044
22,70000,RENT,6.0,EDUCATION,D,29100,15.99,1,0.42,0,3,11.156264806643742
22,12000,MORTGAGE,7.0,EDUCATION,D,1500,14.84,0,0.13,1,3,9.392745258631441
26,260000,OWN,10.0,HOMEIMPROVEMENT,B,28000,10.99,0,0.11,0,3,12.468440756144114
25,259000,MORTGAGE,9.0,HOMEIMPROVEMENT,D,20000,14.42,0,0.08,1,2,12.464587201678082
24,255000,MORTGAGE,9.0,EDUCATION,A,9600,6.99,0,0.04,0,2,12.449022745701502
25,250000,RENT,2.0,MEDICAL,C,25000,13.49,0,0.1,0,4,12.429220196836383
25,12000,OWN,0.0,MEDICAL,C,3000,10.99,1,0.25,0,3,9.392745258631441
22,56950,RENT,6.0,MEDICAL,A,28000,10.99,1,0.49,0,2,10.949946527983677
21,12000,OWN,6.0,EDUCATION,C,3000,13.61,1,0.25,1,3,9.392745258631441
23,65000,RENT,2.0,EDUCATION,A,28000,7.9,1,0.43,0,2,11.082157933374816
26,85000,RENT,2.0,VENTURE,A,28000,7.49,1,0.33,0,3,11.350418300109132
26,12000,OWN,2.0,EDUCATION,A,6100,7.51,1,0.51,0,3,9.392745258631441
22,88000,RENT,6.0,VENTURE,B,28000,9.91,1,0.32,0,3,11.385103457032141
21,12000,OWN,0.0,PERSONAL,C,4200,13.48,1,0.35,1,4,9.392745258631441
22,12000,OWN,6.0,DEBTCONSOLIDATION,A,4750,7.14,1,0.4,0,2,9.392745258631441
24,83004,RENT,0.0,VENTURE,D,28000,15.99,1,0.34,1,4,11.326656125928176
24,250000,RENT,2.0,EDUCATION,C,18000,12.98,0,0.07,1,3,12.429220196836383
144,250000,RENT,4.0,VENTURE,C,4800,13.57,0,0.02,0,3,12.429220196836383
25,100000,RENT,5.0,DEBTCONSOLIDATION,B,28000,12.69,0,0.28,0,3,11.51293546492023
26,110000,RENT,10.0,EDUCATION,A,28000,8.9,0,0.25,0,2,11.608244735642321
26,12000,OWN,0.0,DEBTCONSOLIDATION,A,2700,10.99,1,0.23,0,4,9.392745258631441
22,108000,RENT,6.0,EDUCATION,B,28000,10.99,1,0.26,0,4,11.58989576532275
23,151200,RENT,7.0,DEBTCONSOLIDATION,B,28000,11.11,0,0.19,0,2,11.926365356462313
24,69000,RENT,2.0,HOMEIMPROVEMENT,A,27600,10.99,1,0.4,0,2,11.141876276228
21,12000,MORTGAGE,5.0,DEBTCONSOLIDATION,E,3250,15.68,1,0.27,1,3,9.392745258631441
22,70000,RENT,4.0,EDUCATION,C,27500,13.06,1,0.39,1,3,11.156264806643742
22,240000,OWN,6.0,PERSONAL,B,25000,10.99,0,0.1,0,2,12.388398368982115
26,73200,RENT,5.0,VENTURE,D,27050,15.62,1,0.37,1,2,11.200964361058276
24,83000,RENT,5.0,PERSONAL,C,27000,13.49,1,0.33,1,2,11.326607934898927
24,73399,RENT,0.0,VENTURE,D,27000,10.99,1,0.37,0,3,11.203679214602607
23,62500,RENT,7.0,MEDICAL,B,26000,11.71,1,0.42,0,2,11.042937835596494
23,120000,RENT,1.0,EDUCATION,B,25600,12.69,0,0.21,0,3,11.695255355062795
24,12360,OWN,2.0,MEDICAL,C,1600,13.57,0,0.13,0,3,9.422301633887823
22,60000,RENT,0.0,VENTURE,B,25475,10.99,1,0.42,0,3,11.002116507732017
25,234000,MORTGAGE,3.0,MEDICAL,C,20000,14.27,0,0.09,1,4,12.36308066783498
24,234000,OWN,8.0,HOMEIMPROVEMENT,B,20000,8.88,0,0.09,0,4,12.36308066783498
26,234000,MORTGAGE,10.0,HOMEIMPROVEMENT,B,21600,12.18,0,0.09,0,3,12.36308066783498
25,221004,MORTGAGE,6.0,DEBTCONSOLIDATION,D,11900,14.42,1,0.05,1,3,12.30594060467835
26,232500,MORTGAGE,0.0,MEDICAL,C,25000,14.17,0,0.11,1,2,12.356649805075568
25,230000,MORTGAGE,5.0,MEDICAL,C,35000,13.99,0,0.15,0,4,12.345838935721968
23,83000,RENT,7.0,EDUCATION,B,25300,10.99,1,0.3,0,3,11.326607934898927
22,12600,MORTGAGE,4.0,PERSONAL,A,2000,5.42,1,0.16,0,4,9.441531454869693
25,12600,OWN,3.0,PERSONAL,C,1750,13.61,0,0.14,0,3,9.441531454869693
21,42500,RENT,3.0,EDUCATION,C,25000,12.73,1,0.59,1,3,10.657282884047461
24,41000,RENT,2.0,HOMEIMPROVEMENT,D,25000,10.99,1,0.61,0,3,10.62135173563291
25,12816,OWN,0.0,DEBTCONSOLIDATION,C,3000,12.87,1,0.23,1,4,9.458527693729824
24,12960,MORTGAGE,1.0,HOMEIMPROVEMENT,B,3650,9.91,1,0.28,0,3,9.469700127423375
26,226000,MORTGAGE,4.0,HOMEIMPROVEMENT,B,20000,11.49,0,0.09,0,4,12.328294703023396
25,225000,MORTGAGE,0.0,HOMEIMPROVEMENT,E,30000,19.91,0,0.13,1,2,12.323860125621126
26,213000,MORTGAGE,6.0,EDUCATION,B,35000,10.65,1,0.16,0,2,12.269052139516223
24,225000,RENT,0.0,MEDICAL,B,6000,10.99,0,0.03,0,4,12.323860125621126
24,12960,MORTGAGE,0.0,DEBTCONSOLIDATION,B,4500,11.83,1,0.35,0,4,9.469700127423375
23,12996,OWN,0.0,DEBTCONSOLIDATION,C,2400,13.49,1,0.18,1,2,9.47247384058159
22,42000,RENT,6.0,MEDICAL,D,25000,14.59,1,0.6,1,2,10.645448706505872
26,48000,RENT,2.0,EDUCATION,B,25000,9.64,1,0.52,0,4,10.778977123006351
25,12996,OWN,1.0,MEDICAL,D,3600,14.59,1,0.28,0,3,9.47247384058159
22,12996,OWN,1.0,EDUCATION,B,4750,10.99,1,0.37,0,3,9.47247384058159
25,42360,RENT,1.0,EDUCATION,E,25000,16.35,1,0.59,1,3,10.65398340661328
21,49000,RENT,4.0,EDUCATION,B,25000,10.99,1,0.51,0,2,10.799595985047786
25,225000,MORTGAGE,0.0,VENTURE,F,25000,18.67,0,0.11,0,2,12.323860125621126
26,225000,RENT,1.0,EDUCATION,A,3000,9.32,0,0.01,0,4,12.323860125621126
23,225000,RENT,8.0,DEBTCONSOLIDATION,A,7500,8.63,0,0.03,0,2,12.323860125621126
26,225000,MORTGAGE,2.0,VENTURE,B,25000,10.08,0,0.11,0,2,12.323860125621126
22,49464,RENT,5.0,PERSONAL,B,25000,11.83,1,0.51,0,3,10.809020627757324
23,50000,RENT,1.0,DEBTCONSOLIDATION,A,25000,7.9,1,0.5,0,3,10.819798284210286
25,50000,RENT,4.0,HOMEIMPROVEMENT,A,25000,5.99,1,0.5,0,2,10.819798284210286
24,44000,RENT,2.0,DEBTCONSOLIDATION,D,25000,15.33,1,0.57,0,2,10.691967639914864
23,50000,RENT,1.0,VENTURE,B,25000,11.83,1,0.5,0,4,10.819798284210286
22,50004,RENT,0.0,VENTURE,B,25000,10.36,1,0.5,0,2,10.819878279410617
22,50004,RENT,3.0,VENTURE,C,25000,12.23,1,0.5,0,3,10.819878279410617
22,52000,RENT,2.0,EDUCATION,B,25000,11.11,1,0.48,0,4,10.859018228147887
23,13200,OWN,3.0,DEBTCONSOLIDATION,A,4950,7.9,1,0.38,0,4,9.488047863280759
24,220000,MORTGAGE,1.0,EDUCATION,B,25000,11.58,0,0.11,0,2,12.301387370778713
23,216000,MORTGAGE,5.0,DEBTCONSOLIDATION,A,21000,8.9,0,0.1,0,3,12.283038316285214
25,216000,MORTGAGE,2.0,EDUCATION,D,25000,16.07,0,0.12,0,3,12.283038316285214
26,216000,MORTGAGE,10.0,EDUCATION,C,20000,14.22,0,0.09,1,2,12.283038316285214
23,215000,MORTGAGE,7.0,MEDICAL,C,35000,14.79,0,0.16,1,3,12.278397958261774
26,215000,MORTGAGE,11.0,EDUCATION,A,12000,7.88,0,0.06,0,2,12.278397958261774
23,52000,RENT,1.0,PERSONAL,C,25000,13.22,1,0.48,0,2,10.859018228147887
26,46000,RENT,2.0,DEBTCONSOLIDATION,D,25000,11.86,1,0.54,0,4,10.736418414365374
22,53000,RENT,5.0,EDUCATION,C,25000,13.43,1,0.47,1,4,10.87806606028079
26,47000,RENT,0.0,HOMEIMPROVEMENT,D,25000,15.28,1,0.53,1,2,10.757924157061597
23,47000,RENT,1.0,VENTURE,E,25000,17.93,1,0.53,0,2,10.757924157061597
23,13200,MORTGAGE,2.0,EDUCATION,B,1400,9.25,0,0.11,0,4,9.488047863280759
21,13200,OWN,0.0,VENTURE,C,4500,12.98,1,0.34,0,4,9.488047863280759
22,210000,MORTGAGE,6.0,VENTURE,B,16000,10.62,0,0.08,0,4,12.25486757159303
26,210000,OWN,10.0,PERSONAL,B,22000,11.83,0,0.1,0,4,12.25486757159303
26,48000,RENT,5.0,VENTURE,F,25000,18.43,1,0.52,0,2,10.778977123006351
22,54996,RENT,6.0,EDUCATION,B,25000,10.99,1,0.45,0,4,10.915033917272405
24,55000,RENT,4.0,HOMEIMPROVEMENT,D,25000,10.99,1,0.45,1,4,10.915106645867503
23,55000,RENT,4.0,EDUCATION,B,25000,11.36,1,0.45,0,3,10.915106645867503
23,55000,RENT,4.0,EDUCATION,D,25000,15.65,1,0.45,1,3,10.915106645867503
24,55164,RENT,8.0,PERSONAL,C,25000,13.22,1,0.45,1,4,10.918083973194406
26,56000,RENT,4.0,DEBTCONSOLIDATION,C,25000,12.87,1,0.45,0,2,10.933124826700707
24,203500,OWN,8.0,MEDICAL,C,20000,13.04,0,0.1,0,3,12.223426197857627
23,190000,MORTGAGE,5.0,EDUCATION,F,22000,17.58,1,0.12,1,3,12.154784614286667
23,13920,OWN,2.0,PERSONAL,E,7750,17.04,1,0.56,0,4,9.541153770388567
24,60000,RENT,0.0,PERSONAL,B,25000,10.99,1,0.42,0,3,11.002116507732017
24,60000,RENT,2.0,PERSONAL,B,25000,11.11,1,0.42,0,3,11.002116507732017
26,54000,RENT,7.0,DEBTCONSOLIDATION,D,25000,14.83,1,0.46,1,2,10.896757843893464
23,14000,OWN,2.0,DEBTCONSOLIDATION,D,4000,10.99,1,0.29,0,3,9.546884034617925
24,200000,RENT,8.0,MEDICAL,B,12000,12.69,0,0.06,0,2,12.206077645517674
24,200000,MORTGAGE,8.0,HOMEIMPROVEMENT,C,12000,13.49,0,0.06,0,2,12.206077645517674
21,200000,MORTGAGE,5.0,EDUCATION,C,16000,14.65,0,0.08,0,4,12.206077645517674
25,54000,RENT,3.0,HOMEIMPROVEMENT,E,25000,16.82,1,0.46,0,4,10.896757843893464
23,60000,RENT,3.0,PERSONAL,C,25000,12.73,1,0.42,0,3,11.002116507732017
23,60000,RENT,7.0,PERSONAL,B,25000,10.25,1,0.42,0,4,11.002116507732017
21,60000,RENT,6.0,EDUCATION,B,25000,10.99,1,0.42,0,4,11.002116507732017
25,61959,RENT,9.0,MEDICAL,C,25000,12.73,1,0.4,0,2,11.034244294530804
22,56400,RENT,2.0,HOMEIMPROVEMENT,D,25000,14.96,1,0.44,1,3,10.94024216782542
23,200000,MORTGAGE,7.0,EDUCATION,A,28000,10.99,0,0.14,0,2,12.206077645517674
21,200000,MORTGAGE,2.0,DEBTCONSOLIDATION,C,25000,13.99,0,0.13,0,2,12.206077645517674
24,200000,MORTGAGE,3.0,VENTURE,A,24000,7.49,0,0.12,0,4,12.206077645517674
26,200000,MORTGAGE,4.0,EDUCATION,C,15000,14.79,0,0.07,0,3,12.206077645517674
25,200000,MORTGAGE,2.0,DEBTCONSOLIDATION,B,15500,11.99,0,0.08,0,2,12.206077645517674
24,200000,RENT,8.0,EDUCATION,A,10000,8.49,0,0.05,0,4,12.206077645517674
24,66000,RENT,3.0,EDUCATION,B,25000,9.91,1,0.38,0,2,11.097425172408931
22,66000,RENT,6.0,EDUCATION,C,25000,13.06,1,0.38,1,3,11.097425172408931
22,200000,MORTGAGE,6.0,DEBTCONSOLIDATION,A,9000,6.17,0,0.04,0,4,12.206077645517674
144,200000,MORTGAGE,4.0,EDUCATION,B,6000,11.86,0,0.03,0,2,12.206077645517674
25,200000,RENT,5.0,EDUCATION,D,18000,16.32,0,0.09,0,3,12.206077645517674
25,200000,MORTGAGE,2.0,VENTURE,B,12000,10.38,0,0.06,0,2,12.206077645517674
25,200000,MORTGAGE,9.0,PERSONAL,C,23050,14.35,0,0.12,0,3,12.206077645517674
24,200000,MORTGAGE,8.0,DEBTCONSOLIDATION,B,20000,10.99,0,0.1,0,3,12.206077645517674
24,60000,RENT,2.0,DEBTCONSOLIDATION,E,25000,10.99,1,0.42,1,2,11.002116507732017
21,14400,OWN,0.0,HOMEIMPROVEMENT,B,3000,10.99,1,0.21,0,4,9.575052927597383
26,66996,RENT,10.0,PERSONAL,D,25000,15.21,1,0.37,1,2,11.11240312125122
23,67000,RENT,3.0,EDUCATION,A,25000,7.9,1,0.37,0,4,11.112462823634855
24,67000,RENT,2.0,VENTURE,B,25000,10.99,1,0.37,0,3,11.112462823634855
24,68000,RENT,5.0,PERSONAL,D,25000,14.09,1,0.37,1,3,11.127277689932466
25,69000,RENT,9.0,PERSONAL,D,25000,17.49,1,0.36,0,2,11.141876276228
25,200000,MORTGAGE,0.0,EDUCATION,B,12000,11.48,0,0.06,0,3,12.206077645517674
26,188000,MORTGAGE,10.0,VENTURE,E,20000,17.74,1,0.11,0,2,12.144202560946876
26,200000,MORTGAGE,4.0,PERSONAL,C,3000,13.92,0,0.01,0,3,12.206077645517674
25,69996,RENT,9.0,EDUCATION,D,25000,15.21,1,0.36,0,3,11.156207662970246
22,14400,OWN,2.0,MEDICAL,B,4000,10.99,1,0.28,0,3,9.575052927597383
24,70000,RENT,3.0,EDUCATION,B,25000,11.86,1,0.36,0,4,11.156264806643742
24,14400,OWN,5.0,PERSONAL,A,6000,7.49,1,0.42,0,3,9.575052927597383
24,56100,RENT,7.0,MEDICAL,D,25000,16.49,1,0.38,0,4,10.934908916663861
25,66000,RENT,9.0,VENTURE,D,25000,15.33,1,0.38,1,2,11.097425172408931
26,66000,RENT,3.0,HOMEIMPROVEMENT,B,25000,11.58,1,0.38,0,4,11.097425172408931
25,14400,OWN,7.0,EDUCATION,A,5375,5.79,1,0.37,0,2,9.575052927597383
25,72612,RENT,9.0,MEDICAL,C,25000,13.11,1,0.34,0,2,11.192899248143839
23,74000,RENT,3.0,MEDICAL,B,25000,10.36,1,0.34,0,3,11.211833885608513
25,75000,RENT,9.0,DEBTCONSOLIDATION,B,25000,10.36,1,0.33,0,2,11.225256725762893
24,192000,RENT,0.0,MEDICAL,C,22000,10.99,0,0.11,1,2,12.165255859329688
21,192000,MORTGAGE,123.0,VENTURE,A,20000,6.54,0,0.1,0,4,12.165255859329688
25,191000,MORTGAGE,1.0,MEDICAL,B,10000,12.53,0,0.05,0,4,12.160033942617156
26,190300,MORTGAGE,5.0,PERSONAL,A,15000,10.99,0,0.08,0,3,12.15636230813118
22,190000,MORTGAGE,3.0,VENTURE,C,10000,10.99,0,0.05,0,3,12.154784614286667
24,75000,RENT,4.0,EDUCATION,B,25000,10.25,1,0.33,0,4,11.225256725762893
22,71000,RENT,1.0,EDUCATION,D,25000,15.95,1,0.35,1,4,11.170449240431308
26,190000,MORTGAGE,3.0,VENTURE,B,20000,12.18,0,0.11,0,4,12.154784614286667
23,189996,OWN,0.0,PERSONAL,B,24000,11.83,0,0.13,0,3,12.154763561544284
23,78000,RENT,7.0,DEBTCONSOLIDATION,C,25000,10.99,1,0.32,1,2,11.264476926102367
23,78000,RENT,1.0,VENTURE,B,25000,10.62,1,0.32,0,3,11.264476926102367
23,78504,RENT,7.0,VENTURE,B,25000,10.74,1,0.32,0,3,11.270917596009623
25,186000,OWN,9.0,VENTURE,B,10000,10.25,0,0.05,0,4,12.133507329024972
24,185000,MORTGAGE,4.0,EDUCATION,B,35000,12.42,0,0.19,0,2,12.128116509451258
25,185000,RENT,6.0,VENTURE,C,15000,15.27,0,0.08,0,2,12.128116509451258
24,62050,RENT,8.0,MEDICAL,D,25000,15.33,1,0.34,1,2,11.035711906538346
23,79416,RENT,7.0,VENTURE,D,25000,15.21,1,0.31,1,2,11.282467730111303
21,14400,OWN,4.0,VENTURE,C,6250,14.72,1,0.43,0,2,9.575052927597383
24,79631,RENT,8.0,PERSONAL,D,25000,15.7,1,0.31,1,2,11.285171301098336
24,79632,RENT,0.0,EDUCATION,C,25000,13.35,1,0.31,0,4,11.28518385878521
21,14400,MORTGAGE,0.0,MEDICAL,C,1500,10.99,0,0.1,0,4,9.575052927597383
24,80000,RENT,6.0,EDUCATION,A,25000,6.62,1,0.31,0,2,11.289794413577894
26,80000,RENT,5.0,DEBTCONSOLIDATION,C,25000,13.61,1,0.31,0,4,11.289794413577894
22,185000,RENT,4.0,MEDICAL,B,25000,11.36,0,0.14,0,2,12.128116509451258
26,185000,OWN,10.0,PERSONAL,A,5000,7.68,0,0.03,0,2,12.128116509451258
24,184992,RENT,7.0,HOMEIMPROVEMENT,D,22000,14.46,0,0.12,1,4,12.128073265506755
23,184000,OWN,5.0,EDUCATION,B,2500,11.83,0,0.01,0,2,12.122696471358964
24,172000,MORTGAGE,6.0,DEBTCONSOLIDATION,C,20000,13.47,1,0.12,1,4,12.055255569732177
24,183000,MORTGAGE,2.0,MEDICAL,B,20000,11.49,0,0.11,0,3,12.117246896289503
22,183000,MORTGAGE,3.0,EDUCATION,A,1000,10.99,0,0.01,0,2,12.117246896289503
25,182952,MORTGAGE,9.0,PERSONAL,A,15000,6.03,0,0.08,0,3,12.116984568235837
23,74004,RENT,7.0,DEBTCONSOLIDATION,E,25000,16.35,1,0.34,0,4,11.211887937471289
26,74004,RENT,10.0,DEBTCONSOLIDATION,D,25000,10.99,1,0.34,1,4,11.211887937471289
25,81000,RENT,5.0,DEBTCONSOLIDATION,A,25000,7.29,1,0.31,0,3,11.302216779257382
23,81600,RENT,1.0,MEDICAL,B,25000,11.36,1,0.31,0,3,11.309596795779068
24,82000,RENT,8.0,VENTURE,B,25000,10.25,0,0.3,0,2,11.314486721293981
24,83000,RENT,5.0,EDUCATION,B,25000,11.12,0,0.3,0,3,11.326607934898927
24,83000,RENT,5.0,PERSONAL,D,25000,12.92,0,0.3,1,3,11.326607934898927
24,180000,RENT,8.0,EDUCATION,E,18000,18.64,0,0.1,1,4,12.100717685412471
23,180000,MORTGAGE,8.0,PERSONAL,A,28000,7.51,0,0.16,0,3,12.100717685412471
23,14400,OWN,2.0,HOMEIMPROVEMENT,E,4000,16.7,1,0.28,0,2,9.575052927597383
22,14400,OWN,0.0,PERSONAL,B,2100,11.14,0,0.15,0,4,9.575052927597383
22,84500,RENT,6.0,PERSONAL,F,25000,18.3,0,0.3,0,4,11.344518647594766
24,85000,RENT,5.0,MEDICAL,B,25000,10.62,0,0.29,0,4,11.350418300109132
24,180000,MORTGAGE,7.0,VENTURE,B,14000,11.99,0,0.08,0,2,12.100717685412471
26,180000,MORTGAGE,2.0,VENTURE,B,12000,9.63,0,0.07,0,4,12.100717685412471
25,142800,MORTGAGE,9.0,MEDICAL,F,10000,18.25,1,0.06,0,4,11.869207331664223
23,14664,MORTGAGE,0.0,DEBTCONSOLIDATION,C,6000,10.99,1,0.41,0,4,9.593218981411551
24,87000,RENT,8.0,HOMEIMPROVEMENT,D,25000,14.84,0,0.29,0,3,11.373674891823535
24,75000,RENT,0.0,VENTURE,E,25000,14.7,1,0.33,1,3,11.225256725762893
23,76000,RENT,7.0,DEBTCONSOLIDATION,D,25000,16.02,1,0.33,0,4,11.23850177707664
23,66215,RENT,1.0,MEDICAL,D,25000,15.37,1,0.32,1,2,11.100677404565232
25,90000,RENT,9.0,MEDICAL,B,25000,10.99,0,0.28,0,4,11.407576060361786
21,15000,OWN,0.0,HOMEIMPROVEMENT,A,6200,7.9,1,0.41,0,2,9.61587214452889
26,180000,OWN,2.0,PERSONAL,B,25000,10.99,0,0.14,0,4,12.100717685412471
24,180000,OWN,8.0,EDUCATION,B,21000,11.48,0,0.12,0,3,12.100717685412471
25,180000,OWN,9.0,MEDICAL,C,20000,14.26,0,0.11,1,4,12.100717685412471
26,180000,OWN,0.0,HOMEIMPROVEMENT,A,10000,8.0,0,0.06,0,4,12.100717685412471
25,180000,MORTGAGE,3.0,VENTURE,B,9950,11.26,0,0.06,0,2,12.100717685412471
23,15000,OWN,7.0,MEDICAL,B,4475,10.99,1,0.3,0,4,9.61587214452889
23,78000,RENT,2.0,VENTURE,D,25000,16.32,1,0.32,1,3,11.264476926102367
25,66300,RENT,3.0,MEDICAL,E,25000,17.93,1,0.32,1,4,11.101960259016467
23,90000,RENT,0.0,DEBTCONSOLIDATION,B,25000,11.36,0,0.28,0,3,11.407576060361786
24,79000,RENT,9.0,DEBTCONSOLIDATION,D,25000,14.96,1,0.32,1,4,11.277215789596893
24,91800,RENT,4.0,PERSONAL,C,25000,13.43,0,0.27,1,3,11.427378469795439
25,92000,RENT,6.0,HOMEIMPROVEMENT,B,25000,12.69,0,0.27,0,3,11.429554725537322
24,92000,RENT,1.0,VENTURE,C,25000,12.73,0,0.27,1,4,11.429554725537322
23,93600,RENT,3.0,VENTURE,D,25000,15.21,0,0.27,0,4,11.446796346169297
23,15000,MORTGAGE,1.0,MEDICAL,C,1750,12.68,0,0.12,1,3,9.61587214452889
